Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Light Abstraction,Francis Bruguière,824,"(American, 1879–1945)",(American),(1879),(1945),(Male),c. 1925,Gelatin silver print,,Gift of Arnold Newman,470.1964,Photograph,Photography,1964-05-12,Y,53940,http://www.moma.org/collection/works/53940,http://www.moma.org/media/W1siZiIsIjIwNzYzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f816ed2c13b61f5f,,,,0.0,,,0.0,,
"""An Escape from Death""",Associated Press,8501,"(USA, established 1846)",(),(0),(0),(),"November 24, 1954",Gelatin silver print,"8 15/16 × 12 5/16"" (22.7 × 31.3 cm)",The New York Times Collection,1940.2001,Photograph,Photography,2001-06-14,Y,58533,http://www.moma.org/collection/works/58533,http://www.moma.org/media/W1siZiIsIjI0MDI0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=835af683e024b56d,,,,22.7,,,31.3,,
"Salk Institute for Biological Studies (laboratory, meeting house, and housing), La Jolla, California, (Elevation of laboratory)",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1961,Ink on tracing paper,"12 x 30 3/4"" (30.5 x 78.1 cm)",Gift of the architect,421.1964,Architecture,Architecture & Design,1964-04-14,Y,595,http://www.moma.org/collection/works/595,http://www.moma.org/media/W1siZiIsIjY1OTYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d4850c14f895ff43,,,,8.9,,,55.9,,
Untitled (Kopf),A.R. Penck (Ralf Winkler),4546,"(German, 1939–2017)",(German),(1939),(2017),(Male),(1980-81),Watercolor on paper,"11 3/4 x 8 1/4"" (29.8 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2685.2005,Drawing,Drawings & Prints,2005-05-10,Y,96971,http://www.moma.org/collection/works/96971,http://www.moma.org/media/W1siZiIsIjEyOTg5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3616d8942505f4d,,,,29.8,,,21.0,,
"Plate 8 (in-text plate, folio 11) from Yvette Guilbert",Henri de Toulouse-Lautrec,5910,"(French, 1864–1901)",(French),(1864),(1901),(Male),1894,One from an illustrated book with seventeen lithographs (including cover),"composition (irreg.): 11 7/8 x 8 1/8"" (30.2 x 20.6cm); page (irreg.): 15 1/16 x 15 3/16"" (38.3 x 38.5 cm)",The Louis E. Stern Collection,1066.1964.9,Illustrated Book,Drawings & Prints,1964-10-06,N,31135,,,,,,30.2,,,20.6,,
"Competition for Chairs and Tables, Festival of Misfits, ICA, London, October 23- November 8, 1962",Daniel Spoerri,5569,"(Swiss, born Romania. 1930)",(Swiss),(1930),(0),(Male),1962,Gelatin silver print,"sheet: 10 × 8"" (25.4 × 20.3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3724.2008.P07,Photograph,Drawings & Prints,,N,233650,,,,,,25.4,,,20.3,,
Art & Project Bulletin #84,Yutaka Matsuzawa,32795,"(Japanese, 1922–2006)",(Japanese),(1922),(2006),(Male),1975,"One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)",Art & Project/Depot VBVR Gift,1099.2007.82,Print,Drawings & Prints,2007-11-12,N,122579,,,,,,29.6,,,42.0,,
In-text plate (page 55) from LA TREILLE MUSCATE,André Dunoyer de Segonzac,5318,"(French, 1884–1974)",(French),(1884),(1974),(Male),1930-1932,,"irreg. composition  6 1/8 x 6 1/4"" (15.5 x 15.8 cm)",The Louis E. Stern Collection,1054.1964.21,Illustrated Book,Drawings & Prints,1964-10-06,N,30851,,,,,,15.5,,,15.8,,
Ashtrays,Carlo Scarpa,5197,"(Italian, 1906–1978)",(Italian),(1906),(1978),(Male),1935,Glass,"Each: h. 2 1/2"" (6.3 cm), diam. 4"" (10.2 cm)","Gift of Lenart Import, Ltd.",405.1938.1-2,Design,Architecture & Design,1938-11-01,N,3773,,,,,10.16,6.35,,,,,
Young Anglers,John G. Bullock,860,"(American, 1854–1939)",(American),(1854),(1939),(Male),1896,Platinum print,"8 × 6"" (20.3 × 15.2 cm)",Gift of the John Emlen Bullock Estate,359.1972,Photograph,Photography,1972-11-21,Y,51713,http://www.moma.org/collection/works/51713,http://www.moma.org/media/W1siZiIsIjE5ODEwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f658d51d4075b3c4,,,,20.3,,,15.2,,
