Date,DOW,Rank,Daily Gross in USD,% Gross Change Daily,% Gross Change Weekly,Number of Theaters,Per Theater Avg Gross,Gross To Date,Day,Movie
26.04.2019,Friday,1,157461641,-,-,4662,33775,157461641,1,Avengers: Endgame
27.04.2019,Saturday,1,109264122,-30.6%,-,4662,23437,266725763,2,Avengers: Endgame
28.04.2019,Sunday,1,90389244,-17.3%,-,4662,19388,357115007,3,Avengers: Endgame
29.04.2019,Monday,1,36874439,-59.2%,-,4662,7909,393989446,4,Avengers: Endgame
30.04.2019,Tuesday,1,33110349,-10.2%,-,4662,7102,427099795,5,Avengers: Endgame
01.05.2019,Wednesday,1,25251991,-23.7%,-,4662,5416,452351786,6,Avengers: Endgame
02.05.2019,Thursday,1,21542852,-14.7%,-,4662,4620,473894638,7,Avengers: Endgame
03.05.2019,Friday,1,40736774,+89.1%,-74.1%,4662,8738,514631412,8,Avengers: Endgame
04.05.2019,Saturday,1,61527049,51%,-43.7%,4662,13197,576158461,9,Avengers: Endgame
05.05.2019,Sunday,1,45119388,-26.7%,-50.1%,4662,9678,621277849,10,Avengers: Endgame
06.05.2019,Monday,1,10709607,-76.3%,-71%,4662,2297,631987456,11,Avengers: Endgame
07.05.2019,Tuesday,1,12518963,+16.9%,-62.2%,4662,2685,644506419,12,Avengers: Endgame
08.05.2019,Wednesday,1,8429166,-32.7%,-66.6%,4662,1808,652935585,13,Avengers: Endgame
09.05.2019,Thursday,1,7510154,-10.9%,-65.1%,4662,1610,660445739,14,Avengers: Endgame
05.05.2023,Friday,1,48103839,-,-,445,10809,48103839,1,Guardians of the Galaxy Vol. 3
06.05.2023,Saturday,1,38876290,-19.2%,-,445,8736,86980129,2,Guardians of the Galaxy Vol. 3
07.05.2023,Sunday,1,31433892,-19.1%,-,445,7063,118414021,3,Guardians of the Galaxy Vol. 3
08.05.2023,Monday,1,8925041,-71.6%,-,445,2005,127339062,4,Guardians of the Galaxy Vol. 3
09.05.2023,Tuesday,1,11082506,+24.2%,-,445,2490,138421568,5,Guardians of the Galaxy Vol. 3
10.05.2023,Wednesday,1,7120259,-35.8%,-,445,1600,145541827,6,Guardians of the Galaxy Vol. 3
11.05.2023,Thursday,1,7159351,+0.5%,-,445,1608,152701178,7,Guardians of the Galaxy Vol. 3
12.05.2023,Friday,1,15616247,+118.1%,-67.5%,445,3509,168317425,8,Guardians of the Galaxy Vol. 3
13.05.2023,Saturday,1,26117258,+67.2%,-32.8%,445,5869,194434683,9,Guardians of the Galaxy Vol. 3
14.05.2023,Sunday,1,20275043,-22.4%,-35.5%,445,4556,214709726,10,Guardians of the Galaxy Vol. 3
15.05.2023,Monday,1,5183492,-74.4%,-41.9%,445,1164,219893218,11,Guardians of the Galaxy Vol. 3
16.05.2023,Tuesday,1,6446574,+24.4%,-41.8%,445,1448,226339792,12,Guardians of the Galaxy Vol. 3
17.05.2023,Wednesday,1,4503738,-30.1%,-36.7%,445,1012,230843530,13,Guardians of the Galaxy Vol. 3
18.05.2023,Thursday,1,3699049,-17.9%,-48.3%,445,831,234542579,14,Guardians of the Galaxy Vol. 3
26.07.2024,Friday,1,96189710,-,-,421,22847,96189710,1,Deadpool & Wolverine
27.07.2024,Saturday,1,61644783,-35.9%,-,421,14642,157834493,2,Deadpool & Wolverine
28.07.2024,Sunday,1,53600798,-13%,-,421,12731,211435291,3,Deadpool & Wolverine
29.07.2024,Monday,1,24427969,-54.4%,-,421,5802,235863260,4,Deadpool & Wolverine
30.07.2024,Tuesday,1,25326854,+3.7%,-,421,6015,261190114,5,Deadpool & Wolverine
31.07.2024,Wednesday,1,19339792,-23.6%,-,421,4593,280529906,6,Deadpool & Wolverine
01.08.2024,Thursday,1,18046013,-6.7%,-,421,4286,298575919,7,Deadpool & Wolverine
02.08.2024,Friday,1,28001874,+55.2%,-70.9%,423,6619,326577793,8,Deadpool & Wolverine
03.08.2024,Saturday,1,38403475,+37.1%,-37.7%,423,9078,364981268,9,Deadpool & Wolverine
04.08.2024,Sunday,1,30403979,-20.8%,-43.3%,423,7187,395385247,10,Deadpool & Wolverine
05.08.2024,Monday,1,12374798,-59.3%,-49.3%,423,2925,407760045,11,Deadpool & Wolverine
06.08.2024,Tuesday,1,13390117,+8.2%,-47.1%,423,3165,421150162,12,Deadpool & Wolverine
07.08.2024,Wednesday,1,9865689,-26.3%,-49%,423,2332,431015851,13,Deadpool & Wolverine
08.08.2024,Thursday,1,9140531,-7.4%,-49.3%,423,2160,440156382,14,Deadpool & Wolverine
